Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Mol. weight [kDa],Peptides,Valid values,Valid values 15 min,Valid values unstim,Myd88 15 min 1 neu,MyD88 15 min 2 neu,MyD88 15 min 3 neu,MyD88 15 min 4 neu,MyD88 unstim 2 neu,MyD88 unstim 3 neu,MyD88 unstim 4 neu
+,3.804373023,-1.638767242,E9Q8D0,E9Q8D0,,Dnajc21,,61.734,6,12,4,4,16.59258652,16.814785,16.45508575,16.49988556,18.25538635,18.48488617,17.94778633
+,0.9312513885,-1.759366512,E9Q8T2,E9Q8T2,,Prdm15,,132.87,2,11,4,3,12.67098618,10.11128616,9.860486031,12.18278599,12.03288555,13.39928627,13.46508598
+,1.154321897,-3.821745872,E9QAG8;Q8BZW4,E9QAG8,Zinc finger protein 431,Znf431,,61.28,3,12,4,4,8.642765999,13.52368641,8.778455734,13.1313858,15.41658592,15.51268578,13.59318638
+,2.923449404,-1.628183047,E9QAM5,E9QAM5,Helicase with zinc finger domain 2,Helz2,,331.56,61,12,4,4,16.76958656,17.41978645,16.73818588,16.67018509,18.74238586,18.62618637,18.2142849
+,1.148940346,-1.076149702,E9QAT4,E9QAT4,,Sec16a,,254.2,4,11,4,3,13.34158611,13.37388611,12.25988579,12.11598587,13.95898533,14.29468536,13.29328632
+,2.49716774,-1.242183526,F7BJB9,F7BJB9,,Morc3,,106.52,2,10,4,3,11.33768559,10.8433857,10.46478558,10.649086,11.90538597,12.20818615,12.0841856
,0.5784687688,-1.474882603,G3X9C2,G3X9C2,F-box only protein 50,Nccrp1,,30.407,3,12,4,4,12.01368618,16.36708641,14.66318607,14.7013855,16.5484848,16.44538498,14.73978615
+,1.605134395,-1.533999999,G3X9G7,G3X9G7,Zinc finger protein 809,Zfp809,,46.942,5,12,4,4,14.42158604,15.33208561,14.77498531,13.85088539,16.22938538,16.72398567,15.43328571
+,3.487344536,1.028366884,G3X9J0,G3X9J0,,Sipa1l3,,195.06,37,11,4,3,17.28738594,17.51758575,17.20858574,17.39798546,16.44088554,16.11768532,16.41498566
+,1.712622537,-2.189782937,G3XA57,G3XA57,Rab11 family-interacting protein 2,Rab11fip2,,58.206,2,10,4,3,13.15368557,12.93298626,11.75648594,12.03138638,15.63168526,14.78998566,13.55358601
+,2.113334995,-1.45216616,G5E869,G5E869,,Zfp142,,206.23,4,11,4,3,12.27568626,12.95938587,11.70898628,12.20948601,14.09058571,13.54698563,13.58408546
+,2.816871109,-1.349299272,G5E870,G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,,224.13,35,12,4,4,16.95628548,17.26898575,16.78778648,16.94368553,18.5199852,18.58438492,17.91108513
+,2.241363091,-2.859716495,G5E8B9,G5E8B9,,Zbtb11,,118.56,10,12,4,4,15.33378601,13.3643856,14.47488594,14.41748524,17.89758492,17.53688622,16.33758545
+,1.847245523,-1.494374832,G5E8K5,G5E8K5,Ankyrin-3,Ank3,,214.06,9,11,4,3,12.37298584,13.7176857,12.65788555,12.56468582,14.76598549,14.00678539,14.1952858
+,2.19540665,-1.938791434,G5E8P1,G5E8P1,,Brd1,,119.71,8,11,4,3,12.9051857,13.99798584,12.57248592,13.07858562,15.21398544,15.47978592,14.53828526
+,1.606721632,-1.550208012,L0N7N1,L0N7N1,Kinesin-like protein KIF14,Kif14,,186.44,17,11,4,3,14.74708557,15.29608536,13.70388603,14.45098591,16.35038567,16.53588486,15.41288567
,1.057639559,-0.7806998094,O08528;Q91W97,O08528,Hexokinase-2,Hk2,,102.53,16,11,4,3,15.27318573,15.9669857,15.21608543,14.77568531,16.56708527,16.06448555,15.63448524
,0.1369907617,0.1491580009,O08529,O08529,Calpain-2 catalytic subunit,Capn2,,79.871,3,11,4,3,12.38488579,12.77938557,12.91008568,12.43088627,12.88648605,11.57488632,12.9700861
+,1.317438522,2.104611556,O08550,O08550,Histone-lysine N-methyltransferase 2B,Kmt2b,,294.82,4,11,4,4,13.05468559,11.39538574,11.03518581,11.09458637,10.36845589,10.08953571,8.163056374
,1.351197805,0.7868747711,O08553;P97427,O08553,Dihydropyrimidinase-related protein 2,Dpysl2,,62.277,8,12,4,4,16.33698654,16.49778557,16.0919857,16.16788483,15.95948601,14.85488605,15.6459856
,0.1514099928,-0.1563747724,O08573,O08573,Galectin-9,Lgals9,,40.035,3,10,4,3,15.1568861,15.80488586,14.99728584,14.98738575,15.48118591,16.00058556,14.69718552
+,2.703994773,-1.458166599,O08582,O08582,GTP-binding protein 1,Gtpbp1,,72.3,16,12,4,4,17.70248604,18.38318634,17.8541851,17.87648582,19.68008614,19.55308533,19.00358582
+,2.864727367,-1.507925351,O08583,O08583,THO complex subunit 4,Alyref,,26.94,7,12,4,4,20.92838478,21.33528519,20.85208511,20.70528603,22.62178612,22.71368599,22.05408478
+,2.900395384,-2.212483803,O08586,O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Pten,,47.152,3,11,4,3,16.08438492,15.57928562,16.49668503,16.79418564,18.74658585,18.39958572,18.20718575
+,2.284123975,-1.461583217,O08663,O08663,Methionine aminopeptidase 2,Metap2,,52.921,14,12,4,4,16.6558857,16.89678574,15.95888615,16.49818611,18.22038651,18.18618584,17.48548508
,0.5904517136,0.5585997105,O08756,O08756,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,,27.418,4,11,4,3,14.63218594,14.5393858,15.96138573,14.95338535,14.89628601,14.44538593,14.04728603
+,1.246727604,-2.187458038,O08759,O08759,Ubiquitin-protein ligase E3A,Ube3a,,99.818,6,11,4,3,13.32828617,12.80108547,13.0379858,10.10488605,14.69298553,14.4815855,14.3419857
,0.8876885915,-0.8675835133,O08784,O08784,Treacle protein,Tcof1,,135,7,12,4,4,15.05148602,15.44988537,14.58068562,14.56328583,16.31728554,16.212286,14.80718613
,1.304431449,0.8411281904,O08788,O08788,Dynactin subunit 1,Dctn1,,141.67,3,12,4,4,11.32588577,12.54308605,11.7624855,12.08458614,11.0477457,10.86511612,11.35078621
,0.3108553366,0.2809416453,O08807,O08807,Peroxiredoxin-4,Prdx4,,31.052,6,12,4,4,17.86358643,18.20268631,17.00618553,17.18538475,17.54488564,16.87128639,17.4343853
+,2.332024678,-1.662957668,O08810,O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,,109.36,37,12,4,4,19.35468674,19.90838623,18.74638557,19.02078629,21.1116848,21.14168549,20.50818634
+,1.1804534,-1.692817609,O08848,O08848,60 kDa SS-A/Ro ribonucleoprotein,Trove2,,60.123,2,10,4,3,10.01408577,9.334815979,12.17488575,10.34448624,12.15568638,12.00498581,12.31898594
+,1.325865923,-1.868391434,O08856,O08856,RNA polymerase II elongation factor ELL,Ell,,67.146,4,11,4,3,11.58738613,13.60998631,11.61588573,11.77298546,13.36108589,14.99358559,13.69018555
+,0.8621664829,-1.42508324,O08919,O08919,Numb-like protein,Numbl,,64.13,2,10,4,3,11.54148579,12.59588623,10.85948563,10.83848572,14.1999855,11.54438591,12.90738583
,0.1607797957,0.3793251514,O09061,O09061,Proteasome subunit beta type-1,Psmb1,,26.372,4,11,4,3,14.99908543,14.22898579,12.63438606,12.64938641,13.26148605,NaN,13.23578548
,1.353132027,-0.7228417397,O09106,O09106,Histone deacetylase 1,Hdac1,,55.074,8,11,4,3,17.0016861,17.7665863,17.13028526,17.33188629,18.36628532,18.11028671,17.61478615
,1.198655028,-0.9441165129,O09110,O09110,Dual specificity mitogen-activated protein kinase kinase 3,Map2k3,,39.296,3,11,4,3,13.12868595,14.48418617,13.06698608,13.64068604,14.32458591,14.58708572,14.66108608
+,2.16381027,-1.846924305,O09167,O09167,60S ribosomal protein L21,Rpl21,,18.562,7,12,4,4,24.06718636,24.54348564,23.0892849,23.50908661,25.9003849,25.82728577,25.21988487
+,2.981303029,-1.732741197,O35071;P33173;Q60575,O35071,Kinesin-like protein KIF1C,Kif1c,,122.43,6,11,4,3,12.90118599,13.49808598,12.68588638,13.45728588,14.93878555,15.00088596,14.66538525
,1.671950402,-0.8668583234,O35129,O35129,Prohibitin-2,Phb2,,33.296,13,12,4,4,18.78548622,19.42338562,18.68748665,18.53788567,19.99568558,19.69638634,19.48418617
+,2.596600206,-1.294742266,O35130,O35130,Ribosomal RNA small subunit methyltransferase NEP1,Emg1,,26.974,13,12,4,4,19.79868507,20.09988594,19.4791851,19.59428596,21.32788658,21.12898636,20.65638542
+,2.449593711,-1.532741149,O35134,O35134,DNA-directed RNA polymerase I subunit RPA1,Polr1a,,194.11,21,12,4,4,14.24308586,15.12308598,14.5600853,15.22138596,16.47348595,16.42788506,16.05758476
+,0.6583093067,-2.069040537,O35144,O35144,Telomeric repeat-binding factor 2,Terf2,,60.263,2,10,4,3,12.33908558,13.57938576,8.254156113,13.07888603,14.52078533,13.99308586,13.13188553
+,2.474729898,-2.000216484,O35218,O35218,Cleavage and polyadenylation specificity factor subunit 2,Cpsf2,,88.382,25,12,4,4,17.08148575,17.84008598,16.72078514,16.70458603,19.40348625,19.28278542,18.57458496
,0.9572593907,-0.6042494774,O35226,O35226,26S proteasome non-ATPase regulatory subunit 4,Psmd4,,40.703,5,11,4,3,17.12478638,17.55908585,16.57358551,16.73188591,17.76978493,17.84068489,17.19428635
+,1.559871782,-1.458966573,O35280,O35280,Serine/threonine-protein kinase Chk1,Chek1,,54.381,2,10,3,3,11.53418636,12.11668587,NaN,11.5525856,12.83778572,12.77848625,13.96408558
+,1.734150242,-1.393166701,O35286,O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,,91.006,43,12,4,4,20.41358566,21.40718651,20.10068512,19.9880867,22.08678627,21.96998596,21.55488586
+,1.886521371,-1.5930082,O35295,O35295,Transcriptional activator protein Pur-beta,Purb,,33.901,12,12,4,4,21.34958649,22.27978516,20.73628616,21.15718651,23.14968491,23.20758629,22.56388664
+,3.770565919,-2.373407841,O35326,O35326,Serine/arginine-rich splicing factor 5,Srsf5,,30.891,8,12,4,4,21.01328659,21.08108521,20.92378616,20.51268578,23.56198502,23.37328529,22.83308601
,1.507036506,-0.7672333717,O35343,O35343,Importin subunit alpha-3,Kpna4,,57.922,6,12,4,4,16.57008553,16.13908577,15.77548599,16.20568657,17.07118607,17.211586,16.53668594
+,1.276150369,-2.627499898,O35344,O35344,Importin subunit alpha-4,Kpna3,,57.772,3,10,3,3,NaN,13.18988609,9.867385864,11.82398605,14.17628574,14.22638607,14.36108589
+,2.166391006,-1.358766397,O35345,O35345,Importin subunit alpha-7,Kpna6,,59.964,4,10,4,3,11.90298557,12.0080862,12.44118595,13.0148859,13.54128551,13.80088615,13.75948524
,0.2553043249,-0.3579251766,O35350,O35350,Calpain-1 catalytic subunit,Capn1,,82.105,5,10,4,3,12.2516861,13.04198551,14.16528606,13.79008579,14.18558598,13.73038578,13.09458637
,0,NaN,O35379,O35379,Multidrug resistance-associated protein 1,Abcc1,,171.18,3,4,4,0,10.61998558,11.73668575,11.00348568,10.01508617,NaN,NaN,NaN
,0.5504959362,-0.4916333357,O35382,O35382,Exocyst complex component 4,Exoc4,,110.54,5,11,4,3,12.34498596,12.12838554,11.79978561,10.92438602,12.04458618,12.69718552,12.13128567
+,1.530408747,-2.209832827,O35387,O35387,HCLS1-associated protein X-1,Hax1,,31.654,3,11,4,3,11.59668636,11.79878616,12.80978584,13.81828594,14.91328526,15.45228577,13.78158569
,0.9063588045,-0.5633668105,O35465,O35465,Peptidyl-prolyl cis-trans isomerase FKBP8,Fkbp8,,43.528,4,11,4,3,16.25338554,16.79628563,15.72758579,16.52708626,16.60458565,17.19148636,16.87228584
+,3.354692363,-2.097940842,O35491,O35491,Dual specificity protein kinase CLK2,Clk2,,59.986,5,11,4,3,15.25728607,15.97968578,15.43548584,14.99118614,17.57728577,17.61028481,17.35398483
+,2.22542681,-1.376316865,O35492,O35492,Dual specificity protein kinase CLK3,Clk3,,73.797,13,12,4,4,16.93348503,17.98968506,17.03878593,17.20858574,18.79958534,18.78008652,18.42718506
+,2.521492353,-1.763091644,O35493,O35493,Dual specificity protein kinase CLK4,Clk4,,57.344,4,9,4,3,12.21138573,12.42418575,13.27518559,12.49668598,13.96118546,14.4438858,14.68978596
+,0.8841569822,1.174350023,O35593,O35593,26S proteasome non-ATPase regulatory subunit 14,Psmd14,,34.577,2,10,4,2,13.4856863,15.42188549,14.02678585,14.44038582,13.03948593,NaN,13.29918575
,0,-0.649266243,O35613,O35613,Death domain-associated protein 6,Daxx,,81.488,1,6,1,3,NaN,NaN,NaN,11.95058632,11.88928604,12.91928577,12.99098587
,0.6865436972,-1.007169882,O35638,O35638,Cohesin subunit SA-2,Stag2,,141.28,1,6,3,2,7.422386169,NaN,8.975095749,8.658056259,9.536436081,9.181595802,NaN
,0.595542299,-1.329662323,O35643,O35643,AP-1 complex subunit beta-1,Ap1b1,,103.93,13,9,4,3,10.93198586,8.235535622,10.5464859,10.93088627,11.86098576,11.12078571,NaN
,0,-1.553265889,O35658,O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp,,31.013,1,6,3,1,14.48128605,NaN,15.32538605,14.23788548,NaN,16.23478508,NaN
+,2.251537412,-2.308192571,O35680,O35680,"28S ribosomal protein S12, mitochondrial",Mrps12,,15.437,3,12,4,4,16.77778625,18.6456852,17.85058594,17.66018486,20.45968628,20.04408646,19.62148666
+,1.175560922,-2.02829965,O35690,O35690,Paired mesoderm homeobox protein 2B,Phox2b,,31.621,1,9,3,3,13.15608597,14.68378544,12.8705864,NaN,16.4968853,15.79608536,14.50238609
+,2.314398469,-1.495800018,O35691,O35691,Pinin,Pnn,,82.435,13,12,4,4,17.17858505,17.55438614,16.80978584,16.74878502,18.93278503,18.71328545,18.05998611
,0.7720054273,-1.230858008,O35704,O35704,Serine palmitoyltransferase 1,Sptlc1,,52.534,3,11,4,3,13.5518856,11.46278572,14.15128613,13.97828579,14.51158524,14.06798553,14.97118568
+,3.036021385,-1.458808978,O35730,O35730,E3 ubiquitin-protein ligase RING1,Ring1,,42.63,8,11,4,3,15.86658573,16.42838478,15.96308613,15.79798603,17.73888588,17.4493866,17.23018646
+,2.059157715,-1.641517003,O35737,O35737,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",Hnrnph1,,49.199,17,12,4,4,22.14188576,22.7183857,21.84228516,21.53118515,24.13978577,23.84738541,23.11268616
,0.07610143178,-0.09369190534,O35841,O35841,Apoptosis inhibitor 5,Api5,,56.784,2,11,4,3,11.83918571,13.26938629,12.8813858,12.11588573,12.82348633,12.15268612,12.88428593
+,1.783179359,-1.976275126,O35892,O35892,Nuclear autoantigen Sp-100,Sp100,,54.726,3,11,4,3,13.43338585,13.44008636,14.90428543,15.00948524,15.87838554,16.64998627,15.99088573
,0,NaN,O35900,O35900,U6 snRNA-associated Sm-like protein LSm2,Lsm2,,10.834,1,6,4,1,15.07548523,15.60418606,14.81518555,14.87208557,NaN,NaN,NaN
,2.41283759,-0.5983338356,O54734,O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,,49.027,5,12,4,4,15.35808563,15.39008522,15.18998528,15.54298592,16.07488632,16.05608559,15.77488613
+,1.808518208,-1.086899678,O54774,O54774,AP-3 complex subunit delta-1,Ap3d1,,135.08,16,11,4,3,15.33568573,15.46028614,14.53828526,14.68048573,16.33288574,16.13288498,15.80598545
+,2.816483021,-1.833142122,O54781,O54781,SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal,Srpk2,,76.756,16,12,4,4,17.13108635,17.60128593,16.89388657,16.65498543,19.04358673,19.16228676,18.50448608
+,1.96352875,-1.725282669,O54784,O54784,Death-associated protein kinase 3,Dapk3,,51.421,6,11,4,3,15.53038597,16.34898567,14.64698601,15.69138527,17.60928535,17.12308502,17.10678482
,2.108908187,-0.7304421266,O54785,O54785,LIM domain kinase 2,Limk2,,72.201,9,11,4,3,15.65228558,15.60628605,15.88588524,15.52638531,16.48908615,16.06598663,16.63938522
+,3.500908639,2.732849677,O54824,O54824,Pro-interleukin-16;Interleukin-16,Il16,,141.43,10,11,4,3,15.45728588,16.37948608,15.22408581,15.96248531,13.03048611,13.12928581,12.90918636
+,3.361041356,-1.537275155,O54825,O54825,Bystin,Bysl,,49.783,14,12,4,4,16.99548531,17.38918495,16.75118637,16.84658623,18.72208595,18.50788498,18.36868668
+,1.800220916,-1.850741545,O54826,O54826,Protein AF-10,Mllt10,,113.03,4,11,4,3,13.0471859,14.40248585,13.54668617,13.4136858,16.07428551,15.74378586,14.54168606
+,2.658887246,-1.024517377,O54833,O54833,Casein kinase II subunit alpha,Csnk2a2,,41.215,10,12,4,4,16.73038483,17.149786,17.10188484,17.01328659,18.2611866,18.10378647,17.70508575
+,2.998274396,-2.099134127,O54836,O54836,Zinc finger matrin-type protein 3,Zmat3,,32.001,4,11,4,3,16.29098511,16.44438553,15.7716856,15.39408588,18.33208656,17.98648643,17.90468597
,0.9588992054,-0.6060663859,O54946;Q9QYI8,O54946,DnaJ homolog subfamily B member 6,Dnajb6,,39.807,4,11,4,3,15.52558613,16.48658562,15.80768585,15.47528553,16.70808601,16.47728539,16.1041851
,0,NaN,O54962,O54962,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",Banf1,,10.102,2,5,4,1,13.25848579,12.83098602,13.38918591,13.63588619,NaN,NaN,NaN
,0.3480832533,0.379325072,O55023,O55023,Inositol monophosphatase 1,Impa1,,30.436,5,12,4,4,15.4659853,16.3698864,15.41358566,15.93258572,15.92458534,14.51548576,15.80848598
,0.6093286977,-0.4412665367,O55028,O55028,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",Bckdk,,46.587,5,12,4,4,15.58388615,16.41358566,15.22168541,15.59158611,16.38558578,16.26358604,15.78268528
,0.5326943259,-0.5510510604,O55029,O55029,Coatomer subunit beta,Copb2,,102.45,13,12,4,4,16.48248482,17.02558517,16.10138512,15.76788616,17.50908661,17.06248665,16.11458588
,0.00584457155,0.007716735204,O55033,O55033,Cytoplasmic protein NCK2,Nck2,,42.879,5,11,4,3,14.7247858,14.53658581,13.4506855,14.41768551,13.90648556,14.94488525,13.97278595
,1.081538913,-0.7518250942,O55091,O55091,Protein IMPACT,Impact,,36.276,1,7,4,2,14.63118553,15.07438564,14.60988617,14.60718536,15.93618584,NaN,15.02878571
,0.9245161702,-0.5588915348,O55128,O55128,Histone deacetylase complex subunit SAP18,Sap18,,17.595,3,11,4,4,15.43558598,16.42128563,15.56318569,15.59418583,16.60298538,16.274086,16.06028557
,0.9314619692,-0.5085746447,O55131;Q9DA97;Q8C650,O55131,Septin-7,7-Sep,,50.549,6,12,4,4,15.71308613,15.712286,15.54908562,15.41038609,16.462286,16.35258484,15.49948597
+,1.266385785,-1.369991144,O55135,O55135,Eukaryotic translation initiation factor 6,Eif6,,26.511,7,12,4,4,20.57188606,21.50058556,19.36498642,20.39478493,22.11068535,21.95608521,21.4173851
+,2.537532944,-2.164366245,O55142,O55142,60S ribosomal protein L35a,Rpl35a,,12.554,6,12,4,4,23.76888657,24.34048653,23.43058586,23.81078529,26.45998573,26.33408546,25.21208572
,2.414027456,-0.4330752691,O55143,O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Atp2a2,,114.86,21,12,4,4,16.94088554,17.06378555,16.85528564,16.92448616,17.54138565,17.31208611,17.28408623
+,2.829951674,-2.314883391,O55187,O55187,E3 SUMO-protein ligase CBX4,Cbx4,,60.522,12,12,4,4,16.04508591,16.92278481,15.83128548,16.20018578,19.10498619,18.44608498,18.14308548
+,2.338699006,-1.537466208,O55201,O55201,Transcription elongation factor SPT5,Supt5h,,120.66,16,12,4,4,14.84688568,15.72538567,14.99848557,15.37398529,16.93018532,17.11398506,16.2767849
,0.8009747561,0.9677664439,O55234,O55234,Proteasome subunit beta type-5,Psmb5,,28.532,1,8,2,4,NaN,14.40478611,NaN,13.41698551,13.22198582,13.22728634,12.38008595
,0.6184967542,-0.3923085531,O55236,O55236,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase,Rngtt,,68.683,7,12,4,4,15.41818523,15.23408604,14.48458576,14.57438564,15.54798603,15.28158569,15.13078594
+,2.081147461,-1.153759003,O70126,O70126,Aurora kinase B,Aurkb,,39.384,9,12,4,4,17.12788582,17.85278511,16.89268494,16.90248489,18.39458656,18.21928596,18.42928505
+,2.327202898,-1.951792081,O70133,O70133,ATP-dependent RNA helicase A,Dhx9,,149.47,58,12,4,4,21.77468491,22.41428566,21.20388603,21.24898529,23.87978554,23.88248634,23.07448578
,0.4813443222,-0.570741574,O70152,O70152,Dolichol-phosphate mannosyltransferase subunit 1,Dpm1,,29.174,3,11,4,3,16.37718582,16.56848526,15.88058567,15.70578575,15.59748554,17.44348526,17.0702858
+,1.663057076,-1.356558243,O70157,O70157,DNA topoisomerase 3-alpha,Top3a,,112.36,4,11,4,3,12.3433857,13.22108555,11.77828598,11.91748619,13.95458603,13.71678543,13.34348583
,0.3497709168,0.5699584484,O70172;Q80XI4,O70172,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,Pip4k2a,,46.151,3,11,4,3,12.99218559,13.22518635,13.9761858,14.18728542,14.11778545,13.28648567,11.6714859
+,1.857972504,-0.9071992238,O70194,O70194,Eukaryotic translation initiation factor 3 subunit D,Eif3d,,63.988,24,12,4,4,20.76538658,21.42388535,20.55578613,20.65728569,21.89638519,21.79748535,21.57948494
,0,-1.273299535,O70251,O70251,Elongation factor 1-beta,Eef1b,,24.693,2,5,3,1,NaN,12.28678608,12.25048637,12.89698601,13.75138569,NaN,NaN
+,1.472628441,-1.947733164,O70279,O70279,Protein DGCR14,Dgcr14,,52.603,4,11,4,3,11.94038582,14.45558548,13.27638626,12.97518635,15.5311861,15.33398533,14.46368599
+,4.283312228,-1.461174885,O70293;Q8VEB1;O70291,O70293,G protein-coupled receptor kinase 6,Grk6,,65.978,10,11,4,3,15.20008564,15.59988594,15.42478561,15.25688553,16.74858475,16.82778549,16.91838646
+,2.02948406,-1.620399793,O70305,O70305,Ataxin-2,Atxn2,,136.48,19,12,4,4,17.77848625,18.08108521,17.33538628,17.07738495,19.77818489,19.22078514,18.56648636
+,2.401795508,-1.511716684,O70310,O70310,Glycylpeptide N-tetradecanoyltransferase 1,Nmt1,,56.888,5,11,4,3,15.48808575,15.88778591,14.99478531,15.39068604,17.25658607,17.13768578,16.46188545
+,2.699749245,-1.337533236,O70311,O70311,Glycylpeptide N-tetradecanoyltransferase 2,Nmt2,,60.484,7,11,4,3,15.8416853,15.86888599,15.90378571,15.68118572,17.60548592,17.18048477,16.69828606
,0.008109906038,-0.006783485413,O70318,O70318,Band 4.1-like protein 2,Epb41l2,,109.94,6,11,4,3,14.12768555,13.74828529,14.03098583,14.30478573,14.63678551,13.73758602,13.80478573
,1.145388968,-0.7071749369,O70422,O70422,General transcription factor IIH subunit 4,Gtf2h4,,52.224,4,11,4,3,15.09398556,15.61108589,14.8039856,14.92698574,16.26458549,15.86088562,15.32308578
,0.1041307696,0.1275916894,O70475,O70475,UDP-glucose 6-dehydrogenase,Ugdh,,54.831,6,11,4,4,14.26348591,15.35128593,14.3789854,14.51748562,15.03958607,14.75348568,13.70758533
+,3.166743938,-1.61948363,O70503,O70503,Very-long-chain 3-oxoacyl-CoA reductase,Hsd17b12,,34.741,7,12,4,4,17.9058857,18.01178551,17.50758553,17.27808571,19.42178535,19.34868622,19.11548615
+,2.208678542,-1.808108648,O70551;Q9Z0G2,O70551,SRSF protein kinase 1,Srpk1,,73.088,19,12,4,4,18.72288513,19.23038673,18.25118637,18.28918648,20.87638664,20.67588615,19.74228668
+,2.265015517,-1.875258048,O88196,O88196,E3 ubiquitin-protein ligase TTC3,Ttc3,,223.93,17,11,4,3,13.18058586,14.41308594,13.65088558,13.4384861,15.85668564,15.82978535,14.95158577
,0.5481876136,-0.5065833728,O88286,O88286,Protein Wiz,Wiz,,184.29,9,11,4,3,14.9652853,14.94538593,13.72708607,14.03958607,15.13978577,15.17568588,14.462286
+,2.439704631,-2.058858077,O88291,O88291,DBIRD complex subunit ZNF326,Znf326,,65.225,13,12,4,4,16.90218544,17.69038582,16.53218651,16.90428543,19.56728554,19.19128609,18.439785
+,2.894673882,3.56761694,O88342,O88342,WD repeat-containing protein 1,Wdr1,,66.406,10,12,4,4,17.21338654,16.27848625,16.78648567,17.02898598,14.27808571,13.26048565,12.23908615
,0.2368976273,-0.1344916821,O88351,O88351,Inhibitor of nuclear factor kappa-B kinase subunit beta,Ikbkb,,86.689,5,11,4,3,12.02388573,11.31238556,11.62758636,11.92278576,11.83788586,11.60678577,12.12378597
