Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
+,1.369886722,-1.55237484,G3XA57,G3XA57,Rab11 family-interacting protein 2,Rab11fip2,,3,6,2,4,10.69830036,NaN,NaN,11.74769974,12.74370003,12.02369976,13.35439968,12.97970009
,1.684579303,-1.10400478,G5E869,G5E869,,Zfp142,,3,7,3,4,9.206000328,NaN,9.996800423,10.36841011,11.33139992,10.65369987,10.95219994,10.90700054
+,2.606577414,-1.219974995,G5E870,G5E870,E3 ubiquitin-protein ligase TRIP12,Trip12,,46,8,4,4,15.74230003,16.54529953,16.01309967,16.78829956,17.38369942,17.44099998,17.55069923,17.59350014
+,3.034651118,-1.894199371,G5E8B9,G5E8B9,,Zbtb11,,16,8,4,4,14.51099968,14.95750046,15.03460026,15.63329983,16.72179985,16.70879936,16.71929932,17.56329918
,1.135303173,-1.103775263,G5E8K5,G5E8K5,Ankyrin-3,Ank3,,12,6,2,4,10.60999966,NaN,11.04020023,NaN,12.53670025,11.2918005,11.59230042,12.29469967
,1.52637457,-0.7284498215,G5E8P1,G5E8P1,,Brd1,,8,8,4,4,13.12779999,13.52140045,13.34520054,13.75570011,14.31060028,13.88430023,14.71920013,13.74979973
,1.09433258,-0.7408001423,L0N7N1,L0N7N1,Kinesin-like protein KIF14,Kif14,,27,8,4,4,15.66460037,15.19330025,14.50479984,14.18599987,15.80580044,15.31500053,15.79199982,15.59910011
,0.6807189845,-0.4948499203,O08528;Q3TRM8,O08528,Hexokinase-2,Hk2,,15,8,4,4,14.43420029,15.83500004,15.30010033,15.42679977,15.72060013,15.8526001,15.24110031,16.16119957
,0,NaN,O08529,O08529,Calpain-2 catalytic subunit,Capn2,,4,4,4,0,10.69379997,11.94369984,12.44859982,11.68150043,NaN,NaN,NaN,NaN
+,3.116667843,2.050524712,O08553;Q62188,O08553,Dihydropyrimidinase-related protein 2,Dpysl2,,14,8,4,4,17.37559891,18.07029915,17.57939911,18.31760025,15.91310024,15.91679955,15.08479977,16.22609901
,0.4752482625,0.306499958,O08573,O08573,Galectin-9,Lgals9,,6,8,4,4,17.48859978,18.56559944,18.27219963,18.42819977,18.20439911,17.65040016,17.54780006,18.12599945
,2.828386126,-0.9783000946,O08582,O08582,GTP-binding protein 1,Gtpbp1,,19,8,4,4,17.54809952,17.44869995,17.73659897,17.82410049,18.67449951,18.43580055,19.02969933,18.33069992
+,5.03921622,-2.359549999,O08583,O08583,THO complex subunit 4,Alyref,,11,8,4,4,19.91449928,20.53919983,19.94440079,20.16090012,22.43829918,22.69980049,22.27149963,22.58760071
,0.429985246,-1.175074577,O08586,O08586,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Pten,,3,8,4,4,16.13890076,16.93160057,12.4197998,17.55469894,16.43059921,16.26429939,17.0366993,18.01370049
,0.1383301189,-0.7387530804,O08638,O08638,Myosin-11,Myh11,,21,7,4,3,12.89420033,13.2354002,6.604620934,13.63409996,13.03240013,11.68519974,NaN,12.27490044
+,3.861693887,-2.149775267,O08663,O08663,Methionine aminopeptidase 2,Metap2,,13,8,4,4,15.72980022,16.66569901,15.76160049,15.80220032,18.13960075,17.8701992,18.4015007,18.14710045
,0.08289421316,-0.3291254044,O08710,O08710,Thyroglobulin,Tg,,4,6,4,2,11.3156004,12.14630032,12.41619968,14.77880001,14.39010048,NaN,11.59660053,NaN
,0,NaN,O08749,O08749,"Dihydrolipoyl dehydrogenase, mitochondrial",Dld,,3,4,4,0,13.45779991,13.21990013,14.25559998,14.2112999,NaN,NaN,NaN,NaN
,0,1.818249702,O08750,O08750,Nuclear factor interleukin-3-regulated protein,Nfil3,,4,5,4,1,14.44350052,13.76039982,14.73919964,15.2887001,NaN,NaN,12.73970032,NaN
,0.1583476655,-0.3102250099,O08756,O08756,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,,6,8,4,4,14.74629974,16.04330063,16.00429916,14.95079994,16.5,16.2696991,13.74139977,16.47450066
+,1.357654616,1.332817157,O08759,O08759,Ubiquitin-protein ligase E3A,Ube3a,,7,7,4,3,13.47370052,14.49730015,13.70400047,14.08080006,11.77939987,13.51609993,NaN,12.52289963
,1.221554506,-0.6711258888,O08784,O08784,Treacle protein,Tcof1,,19,8,4,4,15.09160042,16.27739906,15.73789978,16.18079948,16.78910065,16.30170059,16.48570061,16.39570045
,0.08740206735,0.2516835531,O08788,O08788,Dynactin subunit 1,Dctn1,,8,7,4,3,11.66069984,13.22659969,13.18720055,12.55090046,NaN,11.12689972,11.44019985,14.64690018
,0,-0.9564754963,O08796,O08796,Eukaryotic elongation factor 2 kinase,Eef2k,,2,5,4,1,12.71609974,13.02950001,11.69740009,12.2098999,13.36970043,NaN,NaN,NaN
+,2.561766795,1.136625767,O08807,O08807,Peroxiredoxin-4,Prdx4,,7,8,4,4,18.6147995,19.10720062,18.41880035,19.41609955,17.71159935,17.64349937,17.79439926,17.86089897
+,2.266376276,-1.260575771,O08810,O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,,45,8,4,4,18.27809906,19.17519951,18.70509911,19.53499985,20.18330002,19.86079979,20.33349991,20.35810089
+,0.8625540151,-2.69118611,O08848,O08848,60 kDa SS-A/Ro ribonucleoprotein,Trove2,,4,5,3,2,7.746090889,NaN,10.82450008,10.67630005,NaN,11.99909973,NaN,12.88119984
,0,-0.4384333293,O08900,O08900,Zinc finger protein Aiolos,Ikzf3,,1,4,3,1,10.81659985,NaN,11.4762001,11.16190052,11.59000015,NaN,NaN,NaN
,0.1084467921,0.2105000019,O08919;Q9QZS3,O08919;Q9QZS3,Numb-like protein;Protein numb homolog,Numbl;Numb,,4,6,4,2,11.47550011,12.88310051,12.17739964,12.35540009,NaN,11.11530018,NaN,12.90939999
+,1.820804242,-1.18754975,O08992,O08992,Syntenin-1,Sdcbp,,4,7,3,4,15.45079994,NaN,16.33600044,15.54510021,17.37279892,16.44750023,17.07500076,16.96409988
,0,NaN,O09044,O09044,Synaptosomal-associated protein 23,Snap23,,2,4,4,0,15.40200043,15.3991003,16.99440002,16.07119942,NaN,NaN,NaN,NaN
,0.776109348,0.9317250252,O09061,O09061,Proteasome subunit beta type-1,Psmb1,,5,8,4,4,15.60900021,15.51099968,16.16629982,16.53420067,15.63930035,13.53989983,14.9222002,15.9921999
,0.5308485192,0.4003510475,O09106,O09106,Histone deacetylase 1,Hdac1,,12,8,4,4,17.16160011,18.41760063,17.99230003,18.73040009,17.52319908,17.56299973,17.80679893,17.80749893
,0,-2.673149347,O09110,O09110,Dual specificity mitogen-activated protein kinase kinase 3,Map2k3,,4,5,4,1,9.372900009,13.18440056,12.62940025,13.20670033,NaN,NaN,14.77149963,NaN
+,4.030111495,-1.560299873,O09167,O09167,60S ribosomal protein L21,Rpl21,,7,8,4,4,23.53660011,23.81329918,23.94280052,23.85040092,25.05069923,25.14170074,25.59670067,25.59519958
,0.0255411797,-0.03635025024,O09172,O09172,Glutamate--cysteine ligase regulatory subunit,Gclm,,2,8,4,4,14.17700005,16.41020012,15.16639996,14.99779987,15.36470032,14.99970055,15.59459972,14.93780041
+,2.927917777,-3.069127798,O35071;P33173;Q60575;Q80TF6,O35071,Kinesin-like protein KIF1C,Kif1c,,9,8,4,4,11.75699997,10.95549965,12.21290016,10.0068903,14.62030029,13.91190052,14.73910046,13.9375
+,2.569667213,-1.214498997,O35129,O35129,Prohibitin-2,Phb2,,14,8,4,4,16.79590034,16.90690041,17.68569946,16.59770012,18.24219894,18.10669899,18.10899925,18.38629913
+,1.721198989,-1.161225319,O35130,O35130,Ribosomal RNA small subunit methyltransferase NEP1,Emg1,,15,8,4,4,18.79529953,18.88829994,18.73550034,20.19659996,20.12849998,20.13949966,20.44980049,20.5428009
+,3.633807141,-3.51919961,O35134,O35134,DNA-directed RNA polymerase I subunit RPA1,Polr1a,,27,8,4,4,11.52950001,12.70860004,12.04800034,13.14659977,16.27319908,15.07320023,15.9762001,16.18689919
,0.5360102946,-0.7336502075,O35144,O35144,Telomeric repeat-binding factor 2,Terf2,,5,5,3,2,NaN,13.12090015,11.67459965,11.96469975,NaN,12.90089989,NaN,13.07320023
,0.5920448519,-0.2833750248,O35216,O35216,Histone H3-like centromeric protein A,Cenpa,,2,8,4,4,14.46969986,15.0092001,14.34380054,15.05529976,15.21749973,14.70849991,15.2361002,14.84940052
,1.234862813,-0.3796000481,O35218,O35218,Cleavage and polyadenylation specificity factor subunit 2,Cpsf2,,31,8,4,4,17.99069977,18.69389915,18.42510033,18.54459953,18.89489937,18.68309975,18.69759941,18.89710045
,0.8008569278,-0.6051254272,O35226,O35226,26S proteasome non-ATPase regulatory subunit 4,Psmd4,,6,8,4,4,18.18420029,16.58539963,16.72859955,17.26280022,18.07430077,17.70140076,17.61359978,17.79220009
+,2.144395291,-1.166225433,O35286,O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,,45,8,4,4,19.41939926,19.99119949,20.19540024,20.80509949,21.32509995,21.09440041,21.30170059,21.35479927
+,3.656598089,-1.392899513,O35295,O35295,Transcriptional activator protein Pur-beta,Purb,,11,8,4,4,20.86090088,21.08370018,21.02440071,20.78289986,22.20590019,22.00909996,22.77429962,22.33419991
,0,2.55734539,O35316,O35316,Sodium- and chloride-dependent taurine transporter,Slc6a6,,1,5,4,1,11.12209988,12.6661005,11.78760052,12.22210026,NaN,9.392129898,NaN,NaN
,0.6745001038,-0.4219245911,O35326,O35326,Serine/arginine-rich splicing factor 5,Srsf5,,10,8,4,4,21.4701004,21.9435997,20.77519989,21.89690018,21.82329941,21.62849998,22.10569954,22.2159996
,0.5515268331,-0.4278249741,O35343,O35343,Importin subunit alpha-3,Kpna4,,9,8,4,4,16.23279953,17.71430016,17.56949997,17.62709999,17.55859947,17.60400009,17.88949966,17.80290031
+,0.7475602765,-2.333507935,O35344,O35344,Importin subunit alpha-4,Kpna3,,9,7,3,4,15.01469994,10.35095024,15.6576004,NaN,15.00979996,15.53279972,16.63319969,16.85589981
+,3.148557403,1.789200068,O35350,O35350,Calpain-1 catalytic subunit,Capn1,,13,8,4,4,15.95030022,16.22559929,15.84450054,15.61740017,14.05959988,13.60589981,14.81130028,14.00419998
,0,NaN,O35379,O35379,Multidrug resistance-associated protein 1,Abcc1,,4,4,4,0,12.3501997,12.09920025,13.9399004,12.88360023,NaN,NaN,NaN,NaN
,0.4016559217,0.3001003265,O35382,O35382,Exocyst complex component 4,Exoc4,,9,8,4,4,12.60990047,12.58899975,12.99810028,13.17790031,12.65929985,12.42459965,11.83300018,13.25759983
,0.707951738,1.830075502,O35387,O35387,HCLS1-associated protein X-1,Hax1,,3,6,2,4,15.10290051,NaN,15.50590038,NaN,13.21640015,14.58679962,14.73190022,11.36219978
,0.0155472102,0.01487445831,O35465,O35465,Peptidyl-prolyl cis-trans isomerase FKBP8,Fkbp8,,6,8,4,4,15.7567997,17.10989952,15.86989975,16.42869949,16.15780067,16.17210007,16.55360031,16.22229958
,1.021500605,-0.9366500378,O35491,O35491,Dual specificity protein kinase CLK2,Clk2,,6,8,4,4,14.23760033,13.75979996,14.92739964,15.45699978,15.82509995,14.68910027,15.63129997,15.98289967
+,3.902605094,-1.340675354,O35492,O35492,Dual specificity protein kinase CLK3,Clk3,,13,8,4,4,16.87789917,17.04019928,17.17259979,17.4822998,18.5012989,18.24550056,18.54579926,18.64310074
,0.2948602936,0.3782433669,O35493,O35493,Dual specificity protein kinase CLK4,Clk4,,3,7,4,3,11.07859993,11.39039993,11.85859966,12.42020035,NaN,12.18010044,10.52571964,11.22029972
,0,NaN,O35593,O35593,26S proteasome non-ATPase regulatory subunit 14,Psmd14,,6,4,4,0,15.56480026,16.4633007,16.31679916,16.46069908,NaN,NaN,NaN,NaN
,0,-0.7700753212,O35609,O35609,Secretory carrier-associated membrane protein 3,Scamp3,,2,5,4,1,13.89970016,14.47000027,14.14140034,14.30060005,NaN,NaN,14.97300053,NaN
,0.7822618778,-1.504149914,O35638,O35638,Cohesin subunit SA-2,Stag2,,4,6,4,2,11.32139969,11.71500015,12.85960007,12.44239998,NaN,12.41689968,14.76060009,NaN
+,1.360986018,1.25009195,O35643,O35643,AP-1 complex subunit beta-1,Ap1b1,,16,7,4,3,14.22070026,12.67310047,13.23620033,14.24610043,12.54069996,NaN,12.19210052,12.29899979
,0,NaN,O35654,O35654,DNA polymerase delta subunit 2,Pold2,,6,4,4,0,12.69050026,13.47570038,14.78779984,13.80389977,NaN,NaN,NaN,NaN
+,3.194101871,3.401166916,O35658,O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp,,3,6,3,3,14.91779995,15.36190033,NaN,15.94680023,12.16769981,NaN,11.63529968,12.22000027
,0,NaN,O35681,O35681,Synaptotagmin-3,Syt3,,2,4,4,0,12.30459976,12.97879982,13.57489967,10.56210041,NaN,NaN,NaN,NaN
+,4.037948668,4.131799936,O35682,O35682,Myeloid-associated differentiation marker,Myadm,,4,8,4,4,18.11700058,19.72310066,18.61070061,18.74849892,14.14690018,14.22650051,14.90350056,15.39519978
,1.23621284,-0.91127491,O35691,O35691,Pinin,Pnn,,15,8,4,4,16.47399902,17.81879997,16.23900032,16.96030045,18.07480049,17.3321991,17.69370079,18.03649902
,0,NaN,O35704,O35704,Serine palmitoyltransferase 1,Sptlc1,,4,4,4,0,12.55949974,12.93889999,14.1953001,13.37890053,NaN,NaN,NaN,NaN
,1.495912932,-0.9537498951,O35730,O35730,E3 ubiquitin-protein ligase RING1,Ring1,,9,8,4,4,14.46539974,15.47290039,15.03050041,15.57229996,16.31669998,15.79950047,15.6157999,16.62409973
+,2.031824553,-1.229599476,O35737,O35737,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",Hnrnph1,,19,8,4,4,22.00440025,23.09760094,22.24290085,23.24279976,23.81979942,23.64769936,24.17130089,23.86730003
+,1.638250675,-2.312166691,O35841,O35841,Apoptosis inhibitor 5,Api5,,3,7,4,3,12.66100025,11.18330002,13.56719971,11.43290043,15.18959999,14.21530056,14.16489983,NaN
,0,NaN,O35887,O35887,Calumenin,Calu,,4,4,4,0,13.57040024,12.71609974,13.45540047,16.01950073,NaN,NaN,NaN,NaN
+,4.044433073,-1.703574657,O35892,O35892,Nuclear autoantigen Sp-100,Sp100,,6,8,4,4,14.29040051,14.03579998,14.79640007,14.68480015,16.17709923,16.2045002,16.24180031,15.9982996
,0.9379300181,0.9310583274,O35900,O35900,U6 snRNA-associated Sm-like protein LSm2,Lsm2,,2,7,3,4,NaN,16.70199966,15.42619991,16.74609947,16.09549904,15.01910019,14.85309982,15.47379971
,0.6287777451,0.8800830841,O35942,O35942,Serine/threonine-protein kinase Nek2,Nek2,,2,7,4,3,10.98779964,12.0539999,13.40849972,12.91870022,11.47770023,11.09469986,NaN,11.81410027
,0.5393129726,-0.834666729,O35972,O35972,"39S ribosomal protein L23, mitochondrial",Mrpl23,,2,5,3,2,NaN,14.85179996,13.7184,14.55039978,14.56459999,15.85179996,NaN,NaN
,0.9485141071,-1.347954988,O54692,O54692,Centromere/kinetochore protein zw10 homolog,Zw10,,3,8,4,4,12.52760029,10.07847977,11.34770012,12.10840034,14.24900055,11.99450016,12.46210003,12.74839973
+,2.127797055,1.299174786,O54734,O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,,12,8,4,4,16.88979912,17.9904995,17.68370056,17.67609978,16.65159988,15.67350006,16.12330055,16.59499931
+,1.740677483,-2.020724773,O54774,O54774,AP-3 complex subunit delta-1,Ap3d1,,19,8,4,4,12.49510002,13.27939987,14.7361002,14.8071003,15.1196003,15.91669941,15.94709969,16.41720009
,1.254518356,-0.7790255547,O54781,O54781,SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal,Srpk2,,19,8,4,4,17.61079979,16.98699951,17.17709923,18.44499969,18.23810005,18.23550034,18.4321003,18.43029976
+,3.08027582,-2.18509984,O54784;Q8VDF3,O54784,Death-associated protein kinase 3,Dapk3,,8,8,4,4,13.6559,14.26729965,14.40810013,13.42790031,15.95020008,15.48050022,16.69829941,16.37059975
,1.640481647,-0.9325499535,O54785,O54785,LIM domain kinase 2,Limk2,,11,8,4,4,15.18630028,14.49349976,14.32670021,15.01679993,15.11410046,15.90849972,15.56220055,16.16869926
+,3.724087743,3.257674694,O54824,O54824,Pro-interleukin-16;Interleukin-16,Il16,,19,8,4,4,17.35549927,18.4503994,18.20929909,18.14850044,14.24380016,14.54189968,15.72379971,14.62349987
+,4.73682791,-3.341599226,O54825,O54825,Bystin,Bysl,,13,8,4,4,15.00759983,15.64010048,14.58670044,15.69519997,18.60479927,18.41219902,18.72500038,18.55399895
,0.1508899461,-0.2566502094,O54826,O54826,Protein AF-10,Mllt10,,6,8,4,4,13.82069969,13.98260021,14.7823,15.11940002,15.62240028,13.05860043,15.28950024,14.76109982
+,1.767786431,1.405625105,O54833,O54833,Casein kinase II subunit alpha,Csnk2a2,,11,8,4,4,17.11800003,18.0265007,16.86899948,17.72249985,15.26150036,16.44490051,15.68239975,16.72469902
+,4.134307603,-4.761399746,O54836,O54836,Zinc finger matrin-type protein 3,Zmat3,,6,8,4,4,12.80350018,14.1171999,12.10410023,13.71950054,18.18659973,17.63800049,18.39049911,17.57480049
,0.06871318132,0.1662419637,O54879,O54879,High mobility group protein B3,Hmgb3,,2,7,4,3,14.08510017,16.67549896,16.34810066,16.74200058,16.62789917,14.90380001,15.85760021,NaN
,0,0.3922426701,O54916,O54916,RalBP1-associated Eps domain-containing protein 1,Reps1,,1,5,4,1,10.19830036,11.91050053,11.20479965,9.3605299,NaN,NaN,NaN,10.27628994
,0.645778635,-1.075300217,O54941,O54941,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,Smarce1,,5,8,4,4,12.84739971,13.65310001,12.86970043,14.7986002,13.98350048,13.79629993,14.12750053,16.56270027
+,2.544347996,-1.148200035,O54946;Q9QYI8,O54946,DnaJ homolog subfamily B member 6,Dnajb6,,8,8,4,4,15.50930023,16.05789948,15.49160004,16.33099937,17.24119949,16.69610023,17.05690002,16.98839951
,0,NaN,O54957,O54957,Linker for activation of T-cells family member 1,Lat,,4,4,4,0,17.26880074,18.19079971,16.9034996,14.72340012,NaN,NaN,NaN,NaN
,0,NaN,O54962,O54962,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",Banf1,,2,4,4,0,13.70660019,14.62870026,14.38710022,14.08979988,NaN,NaN,NaN,NaN
,0,NaN,O54984,O54984,ATPase Asna1,Asna1,,2,4,4,0,13.49240017,13.69000053,13.73060036,13.31360054,NaN,NaN,NaN,NaN
+,2.672787598,1.747600079,O55023,O55023,Inositol monophosphatase 1,Impa1,,7,8,4,4,16.71489906,17.28009987,16.58760071,17.56940079,15.96529961,15.24629974,15.17440033,14.77560043
+,3.021762648,-2.094424248,O55028,O55028,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",Bckdk,,9,8,4,4,16.15480042,16.44210052,15.56879997,17.11680031,18.47130013,18.0298996,18.51849937,18.64049911
,0.320727071,0.1731996536,O55029,O55029,Coatomer subunit beta,Copb2,,20,8,4,4,16.73449898,16.85589981,16.74539948,16.9477005,16.94319916,16.09670067,17.07080078,16.47999954
+,1.261870407,2.624574661,O55033,O55033,Cytoplasmic protein NCK2,Nck2,,8,6,4,2,14.88430023,15.16479969,15.27060032,16.41799927,NaN,NaN,11.44760036,14.17210007
,0.290179477,0.5558497906,O55091,O55091,Protein IMPACT,Impact,,4,6,4,2,14.33339977,14.73929977,15.81110001,13.46100044,NaN,14.44610023,NaN,13.61460018
,0.00623285572,-0.008950471878,O55128,O55128,Histone deacetylase complex subunit SAP18,Sap18,,4,8,4,4,17.01409912,15.9357996,17.76049995,16.14039993,17.0156002,16.36969948,16.28050041,17.2208004
,0.9557575723,0.6897001266,O55131;Q8C650,O55131,Septin-7,7-Sep,,5,8,4,4,15.76739979,16.77879906,15.74260044,17.08060074,15.81159973,15.55889988,15.32769966,15.91240025
+,1.991914331,-1.217548847,O55135,O55135,Eukaryotic translation initiation factor 6,Eif6,,7,8,4,4,18.35840034,18.75970078,18.46570015,19.6909008,19.80369949,20.0359993,19.9041996,20.40099907
+,3.572104258,-1.812924862,O55142,O55142,60S ribosomal protein L35a,Rpl35a,,6,8,4,4,22.49489975,22.77639961,22.18230057,22.70140076,24.65299988,24.00720024,24.73270035,24.01379967
+,2.415968146,1.247749805,O55143;Q8R429,O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Atp2a2,,27,8,4,4,17.66650009,18.84630013,18.47830009,18.69129944,17.06620026,17.05859947,17.38780022,17.17880058
,0.8800729606,-0.7246742249,O55187,O55187,E3 SUMO-protein ligase CBX4,Cbx4,,15,8,4,4,14.7322998,16.08690071,15.85900021,16.1480999,16.84689903,16.07799911,15.92010021,16.87999916
+,2.238245872,-1.129474878,O55201,O55201,Transcription elongation factor SPT5,Supt5h,,23,8,4,4,14.1427002,15.04360008,14.9204998,15.33080006,16.22879982,15.78369999,15.96780014,15.9751997
,0,1.810924768,O55222,O55222,Integrin-linked protein kinase,Ilk,,6,5,4,1,13.4406004,14.16219997,14.95720005,14.15369987,NaN,12.36750031,NaN,NaN
,0.5254515288,0.9287999471,O55236,O55236,mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase,Rngtt,,9,7,4,3,14.70440006,14.34160042,14.44009972,14.48869991,11.82839966,13.76360035,15.10270023,NaN
,1.824121556,-1.052949905,O70126,O70126,Aurora kinase B,Aurkb,,11,8,4,4,16.30179977,16.99250031,16.55220032,17.46199989,18.14640045,17.61070061,18.23099899,17.53219986
+,2.699158248,-1.34837532,O70133,O70133,ATP-dependent RNA helicase A,Dhx9,,54,8,4,4,20.77389908,21.78499985,21.49399948,21.89929962,22.85659981,22.8362999,22.9612999,22.69149971
,0.1475722787,-0.1310744286,O70152,O70152,Dolichol-phosphate mannosyltransferase subunit 1,Dpm1,,7,8,4,4,15.92990017,16.50670052,16.28240013,16.88019943,16.24440002,16.72539902,17.19879913,15.95489979
,0.7172915021,-0.8525748253,O70157,O70157,DNA topoisomerase 3-alpha,Top3a,,6,8,4,4,12.27820015,12.88720036,14.4076004,12.05140018,13.63529968,13.15280056,14.07820034,14.16839981
+,2.430715884,-1.479275227,O70194,O70194,Eukaryotic translation initiation factor 3 subunit D,Eif3d,,24,8,4,4,18.78969955,19.87509918,19.4151001,20.20289993,21.0230999,20.78450012,21.2343998,21.15789986
,0,3.830049992,O70251,O70251,Elongation factor 1-beta,Eef1b,,6,5,4,1,18.81290054,17.60169983,15.08609962,16.13990021,NaN,13.08010006,NaN,NaN
+,3.852644019,-2.031149864,O70279,O70279,Protein DGCR14,Dgcr14,,4,8,4,4,11.94820023,12.49820042,12.03489971,12.46950054,14.13619995,13.8046999,14.66600037,14.46850014
+,2.942624377,-3.216350079,O70293;Q8VEB1;O70291,O70293,G protein-coupled receptor kinase 6,Grk6,,8,6,2,4,NaN,12.1111002,11.82349968,NaN,15.10900021,15.31900024,14.54899979,15.75759983
+,4.222110734,-1.480924606,O70305,O70305,Ataxin-2,Atxn2,,25,8,4,4,17.17280006,17.45140076,17.59490013,17.43510056,18.93149948,18.69910049,19.22019958,18.72710037
+,2.211915425,-1.133424997,O70310,O70310,Glycylpeptide N-tetradecanoyltransferase 1,Nmt1,,9,8,4,4,15.70740032,14.91160011,16.05529976,16.04369926,16.97769928,16.71730042,16.78989983,16.76679993
,0.1371249309,-0.1068997383,O70311,O70311,Glycylpeptide N-tetradecanoyltransferase 2,Nmt2,,11,8,4,4,16.9409008,17.55819893,17.54269981,16.86009979,17.80539894,16.72870064,17.29829979,17.49709892
,0,NaN,O70318,O70318,Band 4.1-like protein 2,Epb41l2,,4,4,4,0,13.27320004,14.57429981,13.14710045,14.05720043,NaN,NaN,NaN,NaN
,1.413522667,0.9690752029,O70325,O70325,"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",Gpx4,,4,8,4,4,17.27029991,18.69409943,17.12470055,17.88529968,16.83099937,16.57110023,16.72119904,16.97480011
+,2.22752362,-2.371999979,O70422,O70422,General transcription factor IIH subunit 4,Gtf2h4,,6,8,4,4,13.12559986,12.74009991,15.18410015,12.98060036,15.86429977,15.69540024,15.88529968,16.0734005
,0,-0.5843753815,O70435,O70435,Proteasome subunit alpha type-3,Psma3,,4,5,4,1,13.05870056,14.22200012,13.15240002,15.01179981,14.44560051,NaN,NaN,NaN
,0.4010160842,0.4307501316,O70475,O70475,UDP-glucose 6-dehydrogenase,Ugdh,,7,8,4,4,14.52680016,15.19250011,14.20320034,15.67809963,15.42170048,14.36139965,13.83609962,14.25839996
,0.212982839,0.5779223442,O70481,O70481,E3 ubiquitin-protein ligase UBR1,Ubr1,,4,6,4,2,9.345600128,10.00317001,8.433850288,8.199410439,9.801150322,NaN,NaN,7.034020424
